初始化神经网络...
生成训练数据点...
开始训练神经网络...
开始优化...
Iter: 7500, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216111e-01, BC: 2.390418e-01)
Iter: 7600, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216113e-01, BC: 2.390423e-01)
Iter: 7700, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216119e-01, BC: 2.390422e-01)
Iter: 7800, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216106e-01, BC: 2.390411e-01)
Iter: 7900, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216113e-01, BC: 2.390420e-01)
Iter: 8000, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216110e-01, BC: 2.390420e-01)
Iter: 8100, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216112e-01, BC: 2.390419e-01)
Iter: 8200, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216112e-01, BC: 2.390418e-01)
Iter: 8300, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216122e-01, BC: 2.390423e-01)
Iter: 8400, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216111e-01, BC: 2.390418e-01)
Iter: 8500, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216113e-01, BC: 2.390421e-01)
Iter: 8600, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216109e-01, BC: 2.390420e-01)
Iter: 8700, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216104e-01, BC: 2.390408e-01)
Iter: 8800, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216113e-01, BC: 2.390421e-01)
Iter: 8900, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216111e-01, BC: 2.390420e-01)
Iter: 9000, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216115e-01, BC: 2.390423e-01)
Iter: 9100, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216112e-01, BC: 2.390418e-01)
Iter: 9200, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216107e-01, BC: 2.390419e-01)
Iter: 9300, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216111e-01, BC: 2.390417e-01)
Iter: 9400, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216112e-01, BC: 2.390420e-01)
Iter: 9500, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216108e-01, BC: 2.390419e-01)
Iter: 9600, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216102e-01, BC: 2.390405e-01)
Iter: 9700, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216116e-01, BC: 2.390426e-01)
Iter: 9800, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216114e-01, BC: 2.390424e-01)
Iter: 9900, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216111e-01, BC: 2.390418e-01)
Iter: 10000, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216109e-01, BC: 2.390413e-01)
Iter: 10100, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216111e-01, BC: 2.390417e-01)
Iter: 10200, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216109e-01, BC: 2.390413e-01)
Iter: 10300, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216112e-01, BC: 2.390419e-01)
Iter: 10400, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216112e-01, BC: 2.390419e-01)
Iter: 10500, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216108e-01, BC: 2.390410e-01)
Iter: 10600, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216111e-01, BC: 2.390417e-01)
Iter: 10700, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216116e-01, BC: 2.390426e-01)
Iter: 10800, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216115e-01, BC: 2.390426e-01)
Iter: 10900, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216109e-01, BC: 2.390413e-01)
Iter: 11000, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216115e-01, BC: 2.390426e-01)
Iter: 11100, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216114e-01, BC: 2.390424e-01)
Iter: 11200, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216117e-01, BC: 2.390429e-01)
Iter: 11300, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216115e-01, BC: 2.390426e-01)
Iter: 11400, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216112e-01, BC: 2.390419e-01)
Iter: 11500, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216108e-01, BC: 2.390411e-01)
Iter: 11600, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216111e-01, BC: 2.390417e-01)
Iter: 11700, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216112e-01, BC: 2.390418e-01)
Iter: 11800, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216113e-01, BC: 2.390420e-01)
